actionlint;rhysd/actionlint
git-sizer;github/git-sizer
glow;charmbracelet/glow
goawk;benhoyt/goawk
gojq;itchyny/gojq
goose;pressly/goose
gopass;gopasspw/gopass
goreleaser;goreleaser/goreleaser
gping;orf/gping
gptscript;gptscript-ai/gptscript
grex;pemistahl/grex
gron;tomnomnom/gron
grpcurl;fullstorydev/grpcurl
grype;anchore/grype
gum;charmbracelet/gum
hadolint;hadolint/hadolint
hasura;hasura/graphql-engine
helmfile;helmfile/helmfile
hexyl;sharkdp/hexyl
hrp;httprunner/httprunner
htmlq;mgdm/htmlq
hugo;gohugoio/hugo
hurl;Orange-OpenSource/hurl
hx;helix-editor/helix
hyperfine;sharkdp/hyperfine
ipatool;majd/ipatool
ipinfo;ipinfo/cli
istioctl;istio/istio
jaq;01mf02/jaq
jj;martinvonz/jj
jless;PaulJuliusMartinez/jless
joker;candid82/joker
jq;jqlang/jq
jql;yamafaktory/jql
just;casey/just
k3d;k3d-io/k3d
k6;grafana/k6
k9s;derailed/k9s
killport;jkfran/killport
kind;kubernetes-sigs/kind
kompose;kubernetes/kompose
kops;kubernetes/kops
kubectx;ahmetb/kubectx
kubens;ahmetb/kubectx
kustomize;kubernetes-sigs/kustomize
lazygit;jesseduffield/lazygit
lefthook;evilmartians/lefthook
lf;gokcehan/lf
limactl;lima-vm/lima
lima;lima-vm/lima
lnav;tstack/lnav
lsd;lsd-rs/lsd
lux;iawia002/lux
lychee;lycheeverse/lychee
mask;jakedeichert/mask
mdbook;rust-lang/mdBook
micro;zyedidia/micro
minikube;kubernetes/minikube
miniserve;svenstaro/miniserve
monolith;Y2Z/monolith
muffet;raviqqe/muffet
naabu;projectdiscovery/naabu
nali;zu1k/nali
navi;denisidoro/navi
newrelic;newrelic/newrelic-cli
nexttrace;nxtrace/NTrace-core
nfpm;goreleaser/nfpm
nhost;nhost/cli
ninja;ninja-build/ninja
nixpacks;railwayapp/nixpacks
nu;nushell/nushell
oha;hatoo/oha
oh-my-posh;JanDeDobbeleer/oh-my-posh
okteto;okteto/okteto
ollama;jmorganca/ollama
onefetch;o2sh/onefetch
opam;ocaml/opam
opa;open-policy-agent/opa
ouch;ouch-org/ouch
oxipng;shssoichiro/oxipng
oxlint;oxc-project/oxc
pastel;sharkdp/pastel
pdfcpu;pdfcpu/pdfcpu
peco;peco/peco
pocketbase;pocketbase/pocketbase
podman;containers/podman
pop;charmbracelet/pop
presenterm;mfontanini/presenterm
procs;dalance/procs
pueue;Nukesor/pueue
pulumi;pulumi/pulumi
rclone;rclone/rclone
realm;zhboner/realm
replibyte;Qovery/Replibyte
restic;restic/restic
rga;phiresky/ripgrep-all
rga;phiresky/ripgrep-all
rg;BurntSushi/ripgrep
rtx;jdx/rtx
ruff;astral-sh/ruff
rye;mitsuhiko/rye
sad;ms-jpq/sad
scc;boyter/scc
sd;chmln/sd
sftpgo;drakkan/sftpgo
sg;ast-grep/ast-grep
shfmt;mvdan/sh
silicon;Aloxaf/silicon
slides;maaslalani/slides
sops;getsops/sops
ssh3;francoismichel/ssh3
stack;commercialhaskell/stack
starship;starship/starship
stripe;stripe/stripe-cli
supabase;supabase/cli
surreal;surrealdb/surrealdb
syft;anchore/syft
tailspin;bensadeh/tailspin
task;go-task/task
terragrunt;gruntwork-io/terragrunt
terramate;terramate-io/terramate
tfsec;aquasecurity/tfsec
tinygo;tinygo-org/tinygo
tkn;tektoncd/cli
tokei;XAMPPRocky/tokei
t-rec;sassman/t-rec-rs
trip;fujiapple852/trippy
trivy;aquasecurity/trivy
trunk;thedodd/trunk
tspin;bensadeh/tailspin
typos;crate-ci/typos
typst;typst/typst
upx;upx/upx
usql;xo/usql
uv;astral-sh/uv
vale;errata-ai/vale
vegeta;tsenart/vegeta
vela;kubevela/kubevela
vfox;version-fox/vfox
vhs;charmbracelet/vhs
viddy;sachaos/viddy
viu;atanunq/viu
vivid;sharkdp/vivid
volta;volta-cli/volta
vultr;vultr/vultr-cli
wasm-bindgen;rustwasm/wasm-bindgen
wasmer;wasmerio/wasmer
wasm-pack;rustwasm/wasm-pack
wasm-tools;bytecodealliance/wasm-tools
watchexec;watchexec/watchexec
websocat;vi/websocat
xc;joerdav/xc
xh;ducaale/xh
xplr;sayanarijit/xplr
xsv;BurntSushi/xsv
yj;sclevine/yj
yomo;yomorun/yomo
yq;mikefarah/yq
zellij;zellij-org/zellij
zenith;bvaisvil/zenith
zk;mickael-menu/zk
zola;getzola/zola
zoxide;ajeetdsouza/zoxide
